Código da Instalação de Transporte;Nome da Instalação de Transporte;Nome da Instalação de Gasoduto;Código da Instalação de Gasoduto;Tipo da Instalação do Gasoduto;Nome do Município da Instalação de Gasoduto;Nome da UF da Instalação de Gasoduto;Nome do Operador da Instalação de Gasoduto;Código do Operador da Instalação de Gasoduto;Nome do Carregador que usa a Instalação de Gasoduto;Código do Carregador que usa a Instalação de Gasoduto;Nome do Contrato da Instalação do Gasoduto;Nome da variável;01/07/2021;02/07/2021;03/07/2021;04/07/2021;05/07/2021;06/07/2021;07/07/2021;08/07/2021;09/07/2021;10/07/2021;11/07/2021;12/07/2021;13/07/2021;14/07/2021;15/07/2021;16/07/2021;17/07/2021;18/07/2021;19/07/2021;20/07/2021;21/07/2021;22/07/2021;23/07/2021;24/07/2021;25/07/2021;26/07/2021;27/07/2021;28/07/2021;29/07/2021;30/07/2021;31/07/2021
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Gás de Uso no Sistema;0,00;0,00;0,00;-10,00;-4,96;0,00;0,00;0,00;0,00;0,00;0,00;-13,42;0,00;0,00;66,74;-49,16;-10,05;-5,83;19,25;-19,22;-18,26;-53,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Gás Não Contado;0,00;0,00;0,00;-9,90;-4,90;0,00;0,00;0,00;0,00;0,00;0,00;-13,24;0,00;0,00;65,83;-48,91;-9,98;-5,81;19,14;-19,09;-18,18;-52,72;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Perdas Operacionais;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Perdas Extraordinárias;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Desequilibrio Diário;0,00;0,00;335,30;240,42;-634,13;-533,08;0,00;0,00;0,00;0,00;921,64;-440,16;-1016,51;0,00;608,06;126,04;-28,34;-15,32;-29,05;25,05;29,48;344,12;-109,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Desequilíbrio Diário Acumulado;0,00;0,00;335,30;575,72;-58,40;-591,48;-591,48;-591,48;-591,48;-591,48;330,16;-110,00;-1126,51;-1126,51;-518,45;-392,42;-420,76;-436,08;-465,12;-440,07;-410,59;-66,47;-176,03;-176,03;-176,03;-176,03;-176,03;-176,03;-176,03;-176,03;-176,03
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Empacotamento;2705,00;2694,71;3014,04;3257,25;2614,79;2071,14;2058,22;2041,98;2029,10;2012,99;3075,59;2637,75;1610,82;1594,89;2120,98;2284,51;2251,40;2534,76;2473,40;2502,59;2540,67;2919,88;2796,57;2786,01;2777,65;2763,35;2751,36;2730,26;2718,22;2703,56;2694,40
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Volume Solicitado;0,00;0,00;500,00;1200,00;500,00;250,00;0,00;0,00;0,00;0,00;1280,00;0,00;0,00;0,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;600,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Volume Programado;0,00;0,00;500,00;1200,00;500,00;250,00;0,00;0,00;0,00;0,00;1280,00;0,00;0,00;0,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;600,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Volume Realizado;0,00;0,00;335,30;921,33;500,44;250,91;0,00;0,00;0,00;0,00;921,64;402,56;0,00;0,00;1713,04;2387,46;2248,41;2205,83;2240,17;2300,72;2301,29;2300,63;616,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
